Trial,Status,Score,Accuracy,Learning_Rate,Init_Eps,Final_Eps,Eps_Fraction,Batch_Size,gamma,target_update_interval
1,Completed,13.060000000000002,6.2,4.281356382291751e-05,0.018120599018492427,0.0040364960509556925,0.18500194773924156,64,0.9972065612370071,7327
2,Completed,6.76,3.5999999999999996,1.4447278040759892e-05,0.045035051669026466,0.0023453309133222877,0.11428684272419676,128,0.9953685565067574,7716
3,Completed,12.22,3.0,8.344902217604498e-05,0.05737037624324004,0.008914912161334138,0.2648686689324242,128,0.9921427915319622,8923
4,Completed,15.620000000000001,7.000000000000001,0.00016777150049900093,0.024075813180570435,0.0024108521543789816,0.2762695886252271,256,0.9991979025475483,5726
5,Completed,11.200000000000001,1.4000000000000001,0.00036008482932160053,0.047474894173068924,0.0069433048827204314,0.2864283787400133,256,0.995498721199621,13453
6,Pruned,4.066666666666666,0.6666666666666667,0.000767073565624181,0.03457528309457722,0.009593314914771577,0.34332789739746855,128,0.9922297755349904,8093
7,Completed,15.54,7.6,0.00012449488795364348,0.025416124863666265,0.0031286487356480433,0.2612126505683927,128,0.9987639911841542,6714
8,Pruned,11.18,1.6,0.00015014413846051915,0.038243548099834414,0.0037488224868352225,0.20085051279382313,256,0.9911008225323537,4431
9,Pruned,13.125,6.25,2.7323314634049604e-05,0.03275689195051478,0.005972542124639939,0.3428632689312727,256,0.99902486685472,10087
10,Pruned,12.7,4.25,5.6500000271784214e-05,0.012924600600118411,0.0056769149492270484,0.13735659370161166,128,0.994807498905838,2960
11,Pruned,11.7,2.0,0.0002685405203556167,0.05226438169864197,0.005339361926477675,0.20378267468640804,256,0.9961205630982081,11005
12,Pruned,12.1,3.5000000000000004,0.00010879498701390109,0.022137480012039745,0.00855954308010069,0.24516587367328319,64,0.9954447069112379,10049
13,Pruned,11.28,1.6,0.0009946731739040498,0.027903532964414807,0.002162877234951001,0.279510125060062,256,0.9963626300051105,1786
14,Pruned,11.3,1.5,0.0005834339455493623,0.03110367797870673,0.004468822550381366,0.2405198525580926,128,0.9964944976016232,6727
15,Pruned,4.800000000000001,2.666666666666667,1.7874922885092015e-05,0.01981367879257285,0.0071432104917043115,0.3050193627100233,128,0.99192037872721,12764
16,Pruned,10.9,5.5,1.4476697887270807e-05,0.06314455407619507,0.00816802505386549,0.2232978678772474,256,0.9981726592703011,5640
17,Pruned,7.699999999999999,2.0,0.00011354845092839676,0.05309777754709321,0.008500837561492239,0.16599899217299674,32,0.995911900482583,11869
18,Pruned,12.15,3.5000000000000004,0.00011452765377052433,0.06103223374899988,0.009421711457554858,0.32490379601484043,64,0.9989435292661142,3260
19,Pruned,6.6,3.3333333333333335,2.3076866214213382e-05,0.010847548515158328,0.0010014987648578433,0.2575491697428192,256,0.9943867676226299,1515
20,Pruned,9.85,3.5000000000000004,7.460648091893121e-05,0.07334159680657792,0.004065309409924819,0.2944314192764435,64,0.9982369708797727,6938
21,Completed,15.68,7.199999999999999,7.609881115708767e-05,0.054040261535707984,0.0036541193765366737,0.3802361715802203,128,0.9966924554707893,3818
22,Pruned,12.366666666666667,3.0,0.00015159892653211383,0.038633746011558834,0.00495606695676259,0.3244211477556825,256,0.9971150823841831,5639
23,Pruned,12.466666666666667,3.3333333333333335,0.0003710582991160781,0.033246054156505986,0.007340358191555199,0.3213824453978179,256,0.998968709443564,10432
24,Pruned,8.266666666666667,2.666666666666667,4.33788772450775e-05,0.04549001178387331,0.006158289094026966,0.20606863644480955,64,0.9949395343558938,10143
25,Pruned,11.333333333333332,4.0,6.74215197976649e-05,0.05202230160058127,0.0042921578309491355,0.35532576764744245,128,0.9976343720919397,3981
26,Pruned,11.733333333333334,2.0,0.00023812002030286118,0.05811696151012975,0.006088343821256327,0.34969388632394616,128,0.9923308243602866,2791
27,Pruned,11.45,5.5,1.3205791464364843e-05,0.043269045386845006,0.005660848926011173,0.17439869981827938,256,0.997432046286469,8156
28,Pruned,12.1,2.5,0.00020105186453342412,0.02064193366650298,0.0068978128004660065,0.11843206321167168,64,0.9958214447203656,7469
29,Pruned,10.266666666666667,4.666666666666667,7.502775138785447e-05,0.07857775825831564,0.0023801496462597877,0.3099005432932221,128,0.9965531759832342,8569
30,Pruned,11.866666666666667,5.333333333333334,5.8516984638882236e-05,0.0293158088816146,0.001241663504702082,0.32822868190947607,128,0.9976163049095284,4720
